headword,entry_text,page
patala'palli,*patala'palli (*patala'lli) vi. perforar. Sudawek,304
patala'tapalli,patala'tapalli (patala'tulli) vt. perforar. Sudawek nala,304
patala'ter',patala'ter' vt. ¡perfóralo! ¡Wananla patala'ter',304
patantapalli,*patantapalli (*patantulli) vt. tapar. Wilalusa'ler,304
patanter',patanter' vt. ¡cúbrelo! !Ukta,304
patek'apalli,*patek'apalli (*pateklli) vi.,304
patekker',patekker' vi. ¡gatea!,304
patenchapalli,"*patenchapalli (patenchulli) vt. dar un puñete, puñetear.",304
paterka,"paterka s. teretaño, jaspeado, de",305
paterkalun,paterkalun s. animal hembra de,305
paterkapen,paterkapen s. animal macho de,305
patun,"patun s. pariente, familia. Asek",305
patun-patun,*patun-patun a'tapalli (*patun-patun a'tulli) vt.,305
patunker',patunker' vi. ¡arranca de raíz con machete! ¡Ipa',305
patunpalli,*patunpalli (*patuñi) vi.,305
patuntapalli,*patuntapalli (*patuntulli) vt.,305
patunter',patunter' vt. ¡arráncalo de raíz con machete! ¡Puñañin itek patunter! Inpawinseklli! ¡Arranca de raíz el barbasco!,305
pawa,"pawa s. marañón, cashu, especie de fruta. Asu' pawa",305
pawa'nsu',"pawa'nsu' nom. mercadería, lo que falta. Pa'etchek",305
pawala'na,"pawala'na, pawala'nan s. 1)",305
pawala'tapalli,*pawala'tapalli (*pawala'tulli) vt. atravezar,306
pawala'ter',pawala'ter' vt. ¡sártalo! ¡ensártalo! ¡atraviésalo con un palo! ¡Nana,306
"pawanala,","pawanala, pawannala s.",306
pawanker',"pawanker' vi. ¡pica la tierra! ¡tacarpea! ¡Kulla, kenma",306
pawanpalli,*pawanpalli (*pawañi) vi.,306
pawantapalli,"*pawantapalli (*pawantulli) vt. faltarle a uno algo, no",306
pawektapalli,"*pawektapalli (pawektulli) vt. hincar sin penetrar, rasguñar. Mikir",306
pawe'chapalli,*pawe'chapalli) vt. matar o,307
pawe'cher,pawe'cher) vt. ¡mátalo con pico! ¡Sankallin,307
pawi,pawi s. calabaza muy grande y,307
pawi-mutu',pawi-mutu' s. tallo de donde,307
pekchinkapalli,*pekchinkapalli (*pekchinkalli) vt. descuartizar. Kuansitu,307
pekchinkapi,"pekchinkapi adj. partido, descuartizado. Yurimawek",307
pekchinker',pekchinker' (pekchinkaker') vt. ¡descuartízalo! ¡Laman,307
pekdalu'ker',"pekdalu'ker' vt. ¡cóme la carne completamente! ¡Amaná',",308
pekdalu'palli,*pekdalu'palli (*pekdalu'lli) vt. comer un animal la carne de un cuerpo por completo.,308
pekdamerapalli,"*pekdamerapalli (*pekdamelli) vt. partir,",308
pekdamerker',pekdamerker' vt. ¡córtalo en,308
pekdapalli,*pekdapalli (*pekdalli) vt. 1),308
pekderapalli,*pekderapalli (*pekdelli) vt. electrocutar. Matukuñiler,308
pekderchapalli,*pekderchapalli (*pekderchulli) vi.,308
pekdercher',pekdercher' vt. ¡cierra tus poros (cerámica)! ¡sella tus poros (cerámica)! Ipa' pektantullen.,308
pekdu'ker',pekdu'ker' vt. ¡entiérralo!,308
pekdu'palli,"*pekdu'palli (*pekdu'lli) vt. enterrar. Ukluka'sik,",309
pekkankana,"pekkankana s. peccangana, pucacaspi. U'neituntun",309
pekkiwanpalli,*pekkiwanpalli (*pekkiwañi) vi. haber una señal de malagüero. Pudunalek,309
pekkiwantapalli,*pekkiwantapalli (*pekkiwantulli) vt. hacer malagüero a alguien.,309
pekkiwanter',pekkiwanter' vt. ¡hazle malagüero!,309
pekku'ker',pekku'ker' (pekku'er') vi. 1) ¡sopla! ¡Ikersu',309
pekku'palli,*pekku'palli 1) vi. soplar. Nana,309
pekku'tapalli.,*pekku'tapalli. 2) vt. icarar silbando. Moikoler,309
pekku'tapalli,*pekku'tapalli (*pekku'tulli) vt. soplar. Wilawek,309
pekku'ter',pekku'ter' vt. ¡sóplalo!,310
pekkua'palli,*pekkua'palli (*pekkua'lli) vi.,310
pekkuala,pekkuala s. iguana. Pekkuala,310
pekkuala-da'wan,pekkuala-da'wan s. iguana machaco.,310
pekkuer',pekkuer' vi. ¡échate! ¡Lantekkek pekkuer'! ¡Échate a los pies de la cama!,310
pekkupi,pekkupi nom. algo icarado.,310
pekla,"pekla s. capillejo, especie de",310
peklalanpalli,*peklalanpalli (*peklalañi) vt.,310
peklapalli,*peklapalli (*peklalli) vi.,310
peklatapalli,*peklatapalli (*peklatulli) vt.,311
peklatek,"peklatek nom. ladrador, perro que ladra mucho.",311
peklater',peklater' vt. ¡llámalo! (dicho a un,311
peklu'-peklu',*peklu'-peklu' tapalli (*peklu'-peklu' tulli) vi.,311
peklu'dek'a'kasu',peklu'dek'a'kasu' nom. invitados. ¡Pekwir',311
peklu'er',peklu'er') vt. ¡llámalo! ¡invítalo! ¡Awapan,311
peklu'palli,*peklu'palli (*peklu'lli) vt.,311
peklu'tapalli,*peklu'tapalli (*peklu'tulli) vi. llamar. Peklu'tapallina',311
peklu'ter',peklu'ter' vi. ¡llama!,311
peklunker',peklunker' vt. ¡pégale a ella!,312
peklunpalli,*peklunpalli (*pekluñi) vt.,312
pekluntutek,"pekluntutek nom. pegalón,",312
peknu',"peknu' s. suri grande, gorgojo,",312
peknunkanpalli,*peknunkanpalli (*peknunkañi) vt. sacar,312
pekpikerapilelli,pekpikerapilelli (pekpikelli) vi. venir a aparecer repentinamente.,312
pekpikerker',pekpikerker' vi. ¡ven a aparecer!,312
pekpikunker',pekpikunker' (pekpikun) vi. ¡vete a aparecer! ¡Pekpikun,312
pekpinter',pekpinter' vi. ¡vete a aparecer por otro lado! ¡vete a salir por,312
pekpipalli,*pekpipalli (pekpilli) vi. subir a,312
pekpipilanta'lli,*pekpipilanta'lli (*pekpinta'lli) vi. ir a,312
pekpu'palli,*pekpu'palli (*pekpu'lli) vi.,313
peksa',peksa' s. cama.,313
peksa'dunker',peksa'dunker' vi. ¡lava (ropa)!,313
peksa'dunpalli,*peksa'dunpalli (*peksa'duñi) vi. lavar ropa.,313
peksa'ker',peksa'ker' (pekser') vt. ¡lávalo!,313
peksa'palli,*peksa'palli (*peksa'lli) vt.,313
peksa'ter',peksa'ter' vi. ¡haz cama! ¡Dalatek man,313
peksanker',peksanker' vt. ¡muélelo!,313
peksanpalli,*peksanpalli (*peksañi) vt. moler. Ya' chiter peksanek. Ayer molí maíz.,313
peksanpi,peksanpi nom. algo molido (por,313
peksantapalli,peksantapalli (peksantulli) vi. moler. Kenma ipa' peksantula. Tú ya moliste. val.: *peksanpalli.,313
peksanter',peksanter' vi. ¡muele! ¡Aner,313
peksatapalli,*peksatapalli (*peksatulli) vi.,314
peksatek,peksatek s. cama que se usaba antiguamente.,314
pekshuntapalli,*pekshuntapalli (*pekshuntulli) vt. apagar.,314
pekshunter',pekshunter' vt. ¡apágalo! ¡Dunallin pekshunter'!,314
peksilek'apalli,*peksilek'apalli (*peksileklli) vt. desgajar el plátano con machete. Asu' Aullu,314
peksilekker',peksilekker' vt. ¡desgaja el plátano! ¡Trukillu' tanku,314
peksun,"peksun s. mishuchaqui, especie de árbol alto y frondoso, de",314
pekta,"pekta s. mojarra, especie de pez.",314
pektala,"pektala s. caebro, palos que van sobre la cumbrera al cual se",314
pektanchiterapalli,"*pektanchiterapalli (*pektanchitelli) vi. sellar la cerámica, echar leche caspi",314
pektanchiterker',pektanchiterker' vi. ¡sella la,314
pektanker',pektanker' vt. ¡sángralo! ¡extrae el líquido!,315
pektanpalli,*pektanpalli (*pektañi) vt.,315
pektantapalli,*pektantapalli (*pektantulli) vt. aplicar resina de leche,315
pektanter',pektanter' vt. ¡sella la cerámica! ¡aplícale leche caspi para que selle! ¡Puiñu pektanter'! ¡Aplica leche caspi a la tinaja para que selle sus poros!,315
pektawa,"pektawa s. animal que uno cría. ""Iñer pektawawek",315
pektawa'su',pektawa'su' nom. criador de animales. Arakayu,315
pektawaker',pektawaker' (pektawer') vt. ¡críalo! ¡Pektawaker',315
pektawapalli,*pektawapalli (*pektawalli) vt. 1) criar. Ala'sa' yalli',315
pektawatapalli,*pektawatapalli (*pektawatulli) vi. criar (animales). Rakir,315
pektawater',"pektawater' vi. ¡cría (animales)! ¡Pulú, Wandik pektawater! Lli'lanla' wilawanpilala. ¡Pablo, cría (animales) en el Supayacu!",315
pektawer,pektawer s. zoológico.,315
pektek'apalli,*pektek'apalli (*pekteklli) vt.,316
pektekker',pektekker' vt. ¡rebánalo! ¡llácllale! ¡Pektekker asu',316
pektektapalli,"*pektektapalli (*pektektulli) vi. rebanar o labrar, cortarle la",316
pektekter',pektekter' vi. ¡rebana! ¡Asek,316
"pektenña,","pektenña, pektenñan s. balista, arco. Asu' wilawek",316
pektu'la,"pektu'la (pektu') s. canero,",316
pektudek,"pektudek nom. 1) agua turbia. ¡Aner iyuta, Wandek pektudek! ¡No bebas, el",316
pektudektapalli,*pektudektapalli (*pektudektulli) vi.,316
pektulamilek,"pektulamilek s. piesaba, virote",316
pektulu'lada,"pektulu'lada nom. mutishco,",316
"pektuna,","pektuna, pektunan s. pucuna, cerbatana. Tikuna",317
pektunker',"pektunker' vi. ¡extravíate! ¡piérdete! ¡Pektunker',",317
pektunpalli,*pektunpalli (*pektuñi) vi.,317
pektupi-sapana',pektupi-sapana' s. bufeo,317
pektupi-waka',pektupi-waka' s. oveja.,317
pektutapalli,*pektutapalli (*pektutulli) vi. blanquearse. Kua ipa',317
pektuter',pektuter' vi. ¡blanquéate!,317
pektuwantapalli,*pektuwantapalli (*pektuwantulli) vi. estar nublado. -¿Ma'pu'su' uklli? -Pektuwantapalli. ¿Cómo está el día? -Está nublado.,317
pekwala'tapalli,*pekwala'tapalli (*pekwala'tulli) vt. perforar. Asu' dalusupi'na,317
pekwala'ter',pekwala'ter' vt. ¡perfóralo!,317
pekwan,"pekwan s. calabaza, especie de",317
pekwanpi,pekwanpi s. fruto de la calabaza,317
pekwaser',"pekwaser' s. anacaspi, especie de árbol grueso, grapia.",318
pekwiapalli,*pekwiapalli (*pekwilli) vt. limpiar. Rubikasha misa' pekwiapalli. Robertina está,318
pekwiker',pekwiker' (pekwir') vt. ¡límpialo! ¡Pekwir',318
pen1,"pen1 s. 1) candela, fuego.",318
-pen,"-pen nom. tu, de ti; su, de usted;",318
usu'na,"pen usu'na, pen usu'nan s.",318
pen-dakila,"pen-dakila s. carbón prendido, brasa. ¡A'lerker' nana",319
pendalu',pendalu' s. ceniza. Musui'ma,319
penku,penku s. pato. Penkuwek,319
penku-duwin,penku-duwin (duwin) s. pato,319
penku'tapalli,"*penku'tapalli (*penku'tulli) vi. enplumarse, salirle plumas",319
penku'ter',penku'ter' vi. ¡emplúmate!,319
penlala,"penlala s. candela, dentro del",319
penlatu',"penlatu' s. tizón, pedazo de leña que estaba antes encendido y con el que se puede encender",319
-penma',"-penma' nom. su, de ustedes,",319
penmun,penmun s. bocina hecha del,319
pennu'palli,*pennu'palli (*pennu'lli) vi. volar. Ilanser i'na,319
penshillin,penshillin s. cable de,319
"pentuna,","pentuna, pentunan s. puente,",320
pentundektapalli,*pentundektapalli (*pentundektulli) vt.,320
pentundekter',pentundekter' vt. ¡cruza el agua caminando! ¡Ama'wina,320
pentunker',pentunker' vt. ¡crúzalo! ¡chímbale! ¡Pentunker',320
pentunpalli,*pentunpalli (*pentuñi) vt.,320
penwanker',penwanker' vi. ¡prende candela!,320
penwanpalli,*penwanpalli (*penwañi) vi.,320
penwinerapalli,*penwinerapalli (*penwinelli) vi. surcar por,320
penwinetchapalli),penwinetchapalli) vt.,320
penwinetcher),penwinetcher) vt. ¡súrcalo! ¡súbelo (el río)! ¡Wandek,321
penwinerker',penwinerker' vi. ¡surca!,321
per'pa'ker',per'pa'ker' vi. ¡échate bocabajo!,321
per'pa'palli,*per'pa'palli (*per'pa'lli) vi.,321
perapalli,*perapalli (*pelli; *perlli) vi.,321
pe'chek,"perchek (pe'chek; petchek) nom. haragán, ocioso,",321
percheklun,"percheklun nom. perezosa,",321
perchekpen,"perchekpen adj. perezoso,",321
perku'tapalli,*perku'tapalli (*perku'tulli) vt. pegarse a algo o alguien.,322
pe'chapalli,"*pe'chapalli; *pe'challi) vt. chupar (por ejemplo, una",322
petcher',petcher' (pe'cher') vt. ¡chúpalo (fruta)! ¡Takun petcher'! ¡Chupa sapote!,322
pe'chula,petchula (pe'chula) s. pan de,322
lada),lada) s. semilla del fruto del,322
pe'chulapi,petchulapi (pe'chulapi) s.,322
petchulu',petchulu' (pe'chulu') s. árbol,322
Daku'itullina',pi1 s. cuerpo. Daku'itullina',322
pa'amu,pi2 s. fruto. Tanak pa'amu,322
-pi'1,"-pi'1 s. día de una celebración (Navidad,Carnaval, Pascua,",323
pi'chiwa'palli,*pi'chiwa'palli (*pi'chiwa'lli) vt. violar. Puñañin,324
pi'ler'apalli,*pi'ler'apalli (*pi'ler'lli) vt.,324
pi'le'chulli,*pi'le'chulli) vi. tocar,324
pi'ler'ker',pi'ler'ker' vt. ¡tócalo (instrrumento o campana)!,324
pi'le'cher',pi'le'cher') vi. ¡toca el tamborcito! ¡Ipa',324
pi'mur'apalli,*pi'mur'apalli (*pi'mur'lli) vt.,324
pi'mur'ker',pi'mur'ker' (pi'muer'ker) vt. ¡llénalo en un recipiente! ¡lléna,325
pi'pek'apalli,*pi'pek'apalli (*pi'peklli) vt.,326
pi'pekker',pi'pekker' vt. ¡cárgalo en la espalda! ¡Pi'pekker',326
pi'pektapalli,*pi'pektapalli (*pi'pektulli) vi. cargar en la espalda. Ipa',326
pi'pekter',"pi'pekter' vi. ¡carga en la espalda! ¡Ipa' pi'pekter',",326
pi'petchapalli,*pi'petchapalli) vt. coser.,326
pi'petcher',pi'petcher') vt. ¡cóselo!,326
pi'per'itapalli,*pi'per'itapalli (*pi'per'itulli) vb. coserle algo a alguien.,326
pi'per'iter',"pi'per'iter' vt. ¡cósele! ¡cóseselo! ¡Pidir, Mañir kutunen",326
pi'pi'yunker',pi'pi'yunker' (pi'pi'yun) vi. ¡cose! Ma'atasu' kapi.,327
pi'pi'yunpalli,*pi'pi'yunpalli (*pi'pi'yuñi) vi. coser. Danku Malla',327
pi'serkatapalli,*pi'serkatapalli (*pi'serkatulli) vi. tropezarse. Pi'serkatamu,327
pi'serkater',pi'serkater' vi. ¡tropiézate!,327
pi'shek'apalli,"*pi'shek'apalli (*pi'sheklli) vi. voltearse, mirar hacia atrás.",327
pi'shek'enchekladalli,*pi'shek'enchekladalli vi. tener,327
pi'shekker',pi'shekker' vi. ¡voltea! ¡mira,327
pi'shektapalli,*pi'shektapalli (*pi'shektulli) vt. voltearse hacia algo o alguien. Lauk'anku,327
pi'shekter',pi'shekter' vt. ¡voltea hacia eso! ¡mira atrás hacia eso!,327
pi'suwer,"pi'suwer s. pomponcito, yacupatito. Pi'suwer",327
pi'tandula,"pi'tandula s. astro, planeta.",327
pi'tandula,pi'tandula llinser (llinser) s.,327
pi'ukachek,pi'ukachek s. especie de pájarito de cuerpo negro y cabecita blanca. Pi'ukachek i'na,328
pi'werapalli,*pi'werapalli (*pi'welli) vt.,328
pi'wetchapalli,*pi'wetchapalli) vi. formar,328
pi'wetcher',pi'wetcher') vi. ¡forma rollo! ¡rollar! ¡Pi'wetcher',328
pi'we'chunantek,pi'we'chunantek) s. tabla para arrollar la arcilla en trozos. Pi'wetchunantek,328
pian,"pian s. horcón, uno de los",328
picha'su',"picha'su' nom. deforme, con una malformación. Nana",328
pichiker',pichiker' (pichir') vt. 1) ¡cuéntalo! ¡Samer pichir'! ¡Cuenta los peces! 2) ¡mídelo!,329
pichilli2,"*pichilli2 vi. nacer deforme, nacer con alguna mal formación.",329
"pichina,","pichina, pichinan s. 1) medida, tamaño. Asu' misa'",329
pichipalli,*pichipalli (*pichilli1) vt. 1) contar. Samer kencha'n pichilli. Trajo los peces y los contó. val.: *pichitapalli 2) .,329
pichitapalli,*pichitapalli (*pichitulli) vi. 1) contar. Nana pichitulli,329
pichiter',pichiter' vi. ¡cuenta! ¡Pichiter',329
pidala,pidala s. 1) bolas que se forman,329
pidalawanpalli,*pidalawanpalli (*pidalawañi) s. tener,329
pidatapalli,*pidatapalli (*pidatulli) vt. tirar. Idimunanen pidatulek. Yo tiré su cobija. val.: *a'pidatapalli.,329
pidatek,"pidatek s. apacharama, corteza del árbol que se quema, se",329
pidek,"pidek s. 1) casa, vivienda. Allika",330
pidek-lala,pidek-lala s. 1) interior de la casa. Tanpin i'na,330
pidek-lanser,pidek-lanser s. armazón o,330
pidek-mutu',pidek-mutu' s. cumbrera o,330
pidek-supinan,"pidek-supinan s. huerta, parte",330
pidek'apalli1,pidek'apalli1 (*pideklli1) vi.,330
pidek'apalli2,*pidek'apalli2 (*pideklli2) vt.,331
pidekker'1,pidekker'1 vi. ¡construye casa!,331
pidekker'2,pidekker'2 vt. ¡cháncalo chiquito con cuchara! ¡Pidekker',331
pidekwalek,"pidekwalek s. casa legítima,",331
pidekwan,pidekwan s. dueño de la casa.,331
pidekwanpalli,*pidekwanpalli (*pidekwañi) vi. hacer un nido.,331
pidik,"pidik [pidík] adv. en la casa, a la casa. ¡Pidik llia'ker'! ¡Quédate en la casa!",331
pikella,pikella s. 1) caña brava. ¡Pikella man kencher' pulataa! ¡Agarrando caña,331
piketchu'ker',piketchu'ker' (pike'chuker') vt. ¡pélalo con agua hirviendo! ¡desplúmalo con agua hirviendo! ¡Piketchu'ker',331
pike'chu'lli,*pike'chu'lli) vt. pelar o,331
pilen'apalli,*pilen'apalli (*pilenñi) vt.,332
"pilenña,","pilenña, pilenñan s. quena,",332
pilenñantapalli,*pilenñantapalli (*pilenñantulli) vi. tocar el pijuano. Papinkuku'lusa',332
pilenñanter',pilenñanter' vi. ¡toca el pífano! ¡toca el pijuano!,332
pilentapalli,*pilentapalli (*pilentulli) vi.,332
pilenter',pilenter' vi. ¡aconseja!,332
pillek,"pillek s. shingura, enfermedad",332
pillek'apalli,*pillek'apalli (*pilleklli) vt.,332
pillekker',pillekker' vt. ¡shingúrale!,332
pillektapalli,*pillektapalli (*pillektulli) vi.,332
pillekter',pillekter' vi. ¡shingura!,332
pillektutek,pillektutek nom. shingurador.,333
pilli'tanpa'tapalli,*pilli'tanpa'tapalli (*pilli'tanpa'tulli) vt.,333
pilli'tanpa'ter',pilli'tanpa'ter' vt. ¡agárrale del brazo!,333
pilli'tapalli,*pilli'tapalli (*pilli'tulli) vt. 1) agarrar. Wilalusa'ler,333
pilli'ter',pilli'ter' vt. ¡agárralo! ¡Pilli'ter',333
pilli'tuna,"pilli'tuna, pilli'tunan s. mango, asa. Pilli'tuna pasunpalli unkunak. Los mangos están",333
pillia'pincha'lli,*pillia'pincha'lli vi. empezar,333
pillilli-duwin,pillilli-duwin s. pinsha grande.,333
pillillun,"pillillun s. pinshilla, tucaneta más",333
pilu'ker',pilu'ker' (pilu'r) vt. ¡cultívalo! ¡Menminpen pilu'r! ¡Cultiva tu chacra!,334
pilu'palli,"*pilu'palli (*pilu'lli) vt. cultivar, deshierbar. Wa'an",334
pilu'pi,"pilu'pi nom. deshierbado, limpio.",334
pilu'tapalli,*pilu'tapalli (*pilu'tulli) vi.,334
pilu'ter',pilu'ter' vi. ¡cultiva! ¡Pilu'ter',334
pilu'tunan,pilu'tunan s. lampa. ¡Kencher',334
pilu'tutek,"pilu'tutek nom. cultivador,",334
pimu,pimu 1) s. condimentos.,334
preparado,preparado sopa con condimentos. 2) adj. aromático.,334
pimula,pimula s. comino. Ñashi,334
pimutapalli,*pimutapalli (*pimutulli) vi.,334
pimuter',pimuter' vi. ¡trasciende tu olor agradable! ¡olorosea! ¡Nala,334
*pinane'lli,*pinanerlli; *pinane'lli) vt. olvidar. Ipa'li'na,335
pinanerchulli),*pinanerchulli) vi. olvidarse. Napi' sudawek,335
pinanetcher',"pinanetcher') vi. ¡olvídate! ¡Pinanetcher musu',",335
pinankala,"pinankala s. especie de sapo largo. Pinankala ka'i'nek,",335
pinantek,"pinantek s. órbita del ojo, cuenca del ojo. Wilaweksha",335
pinchiyek,pinchiyek s. tabaco diluido.,335
pindek'apalli,*pindek'apalli (*pindeklli) vi.,335
pindekker',pindekker' vi. ¡pesca de noche!,336
¡Ma'atasu',pinnan s. linterna. ¡Ma'atasu',336
pintapalli,*pintapalli (*pintulli) vi.,336
pintella,"pintella s. mapacho, cigarro, cigarrillo. ¡Wa'dan",336
pintellu',pintellu' s. porción de tabaco,336
nuka',pinter s. tabaco. Nanek nuka',336
pinter',pinter' vt. ¡alúmbralo! ¡Inchilala pinter' pinnanpenlek! ¡Alumbra el,336
pintulu'-lada,pintulu'-lada s. luciérnaga.,336
pipek'apalli,*pipek'apalli (*pipeklli) vt.,336
pipekker',pipekker' vt. ¡cárgalo! Dañir,336
pipeklu'ker',pipeklu'ker' (pipeklu'r) vt. ¡carga la carne! ¡Panwala,336
pipeklu'palli,*pipeklu'palli (*pipeklu'lli) vt. cargar carne. Pipeklu'lek,336
pipekpi,pipekpi nom. cargado en la espalda. Nana Ishpaña,337
pipektapalli,*pipektapalli (*pipektulli) vi.,337
pipekter',pipekter' vi. ¡carga!,337
"pipektuna,","pipektuna, pipektunan s. carga. Pipektunanwek",337
pipelladasu',pipelladasu' nom. persona de,337
pipellu',"pipellu' s. tierra rojiza, tierra colorada. Shiwiluk pipellu'",337
pipellunwa,pipellunwa s. achiote colorado.,337
piper-adawa',piper-adawa' adj. rosado.,337
piper-adawa'lli,"*piper-adawa'lli vi. ser rosado,",337
piper-sapana',piper-sapana' s. bufeo colorado.,337
piper-wana,"piper-wana, piper-wanan s.",337
piper'1,"piper, piper'1 s. hombro.",338
piper'2,"piper, piper'2 adj. rojo, rojizo, colorado. Tamu piper anpinan. El guacamayo ""tamu"" tiene alas rojas. Piper",338
pipe'chapalli,pipe'chapalli) vi. arrimarse,338
piper'ker',piper'ker' vi. ¡vive bajo la tutela de alguien! ¡Ashatushapenkek,338
piper'pi-lunwa,piper'pi-lunwa (lunwa) s. fruto del achiote colorado. Wilalun,338
piperapalli,*piperapalli (*pipelli) vi. ser rojo. Ukladek pipelli. La,338
pipe'chanku,pipe'chanku) (tanku) s.,338
pipetchek),pipetchek) s. omóplato.,338
Piru-muda',Piru-muda' s. peruanos.,338
pisa'ker',pisa'ker' (piser') vt. ¡remójalo para teñir! ¡Kutunpen,339
pisa'palli,*pisa'palli (*pisa'lli) vt.,339
pisadan,pisadan s. yuca cocinada para,339
pisadantapalli,*pisadantapalli (*pisadantulli) vi. cocinar la,339
pisadanter',pisadanter' vi. ¡cocina la yuca,339
"pisadantuna,","pisadantuna, pisadantunan s.",339
pisaker',pisaker' vt. ¡cocínalo en olla,339
pisaluwaker',pisaluwaker' (pisaluwer') vt. ¡envuélvelo en hoja! ¡Asu',339
pisaluwapalli,*pisaluwapalli (*pisaluwalli) vt. envolver en hoja pescado u,339
pisaluwatapalli,*pisaluwatapalli (*pisaluwatulli) vi.,339
pisaluwater',"pisaluwater' vi. ¡envuelve en hoja! ¡Ipa' pisaluwater',",340
pisapalli,*pisapalli (*pisalli) vt. cocinar para hacer bebida. Kua,340
pisen'apalli,*pisen'apalli (*pisenñi) vt.,340
pisenker',pisenker' vt. ¡prepáralo! ¡Allisek pisenker'! ¡Prepara la trampa!,340
pisentapalli,*pisentapalli (*pisentulli) vi.,340
pisenter',"pisenter' vi. ¡arma tu escopeta! ¡pon tu armadillo en la escopeta! ¡Pisenter',",340
piser'lli,*piser'lli; *pisetlli) vt.,340
piserker',piserker' vt. ¡ishanguéale! ¡dale con la ishanga! ¡Piserker',340
pisha'-kasetchu',"pisha'-kasetchu' s. chupete, curichi. ¡Dekwer' asu'",340
pisha'ker',pisha'ker' vt. ¡chúpalo!,340
pisha'palli,*pisha'palli (*pisha'lli) vt. 1),340
pishu,"pishu s. granito, espinilla, barrito.",341
pishu'tutek,pishu'tutek nom. curandero.,341
pishutapalli,*pishutapalli (*pishutulli) vi.,341
pishututek,"pishututek nom. graniento,",341
pista,pista (Spn fiesta) s. fiesta.,341
pisuluker',pisuluker' vt. ¡bótalo a empujones! ¡Pisuluker',341
pisulupalli,*pisulupalli (*pisululli) vt.,341
pita',"pita' s. 1) artesa, recipiente de",341
pita'kapalli,*pita'kapalli (*pita'kalli) vt. empujar. Wilapenler,341
pita'ker',pita'ker' vt. ¡empújalo!,341
pitamanerapalli,*pitamanerapalli (*pitamanelli) vt. hacer,341
pitamanerker',pitamanerker' vt. ¡hazlo rodar! ¡ruédalo! ¡Llantastek,342
"pitawiapalli,","*pitawiapalli, pitawipalli (*pitawilli) vt. batir la bebida (con remo). Uklupidekwek pitawiapalek. Estoy",342
pitawiker',pitawiker' vt. ¡bátelo!,342
pitawitapalli,*pitawitapalli (*pitawitulli) vi. batir (la bebida). Pideru,342
pitawiter',pitawiter' vi. ¡bate! ¡Ikersu',342
"pitawituna,","pitawituna, pitawitunan s.",342
Nakusu',pitek s. espalda. Nakusu',342
pitellin,pitellin s. hilo. ¡Lawak,342
pitellu,pitellu s. algodón. Kua pitellu,342
pitellu-shapen,pitellu-shapen (sha'pen) s.,342
pitetchapalli),"*pitetchapalli) vi. enroscar el hilo, torcer el hilo, formar la",342
piterpi,piterpi s. madeja de hilo.,343
pitun,"pitun s. poza de una quebrada,",343
piwala'lli,"piwala'lli, piwalalli s. pantalones. Kullan erkun",343
piwanker',"piwanker' vi. ¡echa huayo! ¡echa fruto! ¡Takunanshá,",343
piwanpalli,*piwanpalli (*piwañi) vi.,343
piwantapalli,"*piwantapalli (*piwantulli) vi. echar huayo, tener huayo,",343
piwanunter',piwanunter' vi. ¡echa huayo nuevamente! ¡echa fruto nuevamente!,343
piwillilli',piwillilli' s. lagartija pequeña que,343
piwipalli,"*piwipalli (*piwilli) vt. frotar,",344
piwir',piwir' vt. ¡frótale! ¡sóbale!,344
pu'ser,pu'ser s. mono leoncillo. Pu'ser,344
pu'tapalli,*pu'tapalli (*pu'tulli) vt. envolver.,344
pu'ter',pu'ter' vt. ¡envuélvelo! ¡Pu'ter',344
pu'yek,pu'yek (shiwilu pur-dek) s. pesca.,344
puapalli,*puapalli (*pulli) vt. desgranar.,344
botella),botella) s. botella. Puchilla,344
puchipi,puchipi s. jarra de cerámica,344
puduna',puduna' s. arco iris.,344
puduna',puduna' duker (puduna') s.,344
puduna',puduna' kekki (puduna') s.,344
puiñu,puiñu (quech. pwiñu) s. tinaja de,345
puk'apilalli,*puk'apilalli (*puklli) vi. tener,345
puka',"puka' s. charapa, especie de",345
pukaker',pukaker' vi. ¡púdrete! ¡malógrate! ¡sécate! ¡Asek,345
pukapilalli,*pukapilalli (*pukalli) vi.,345
puker',puker' vt. ¡desgránalo! ¡Chiter',345
pula,pula s. 1) cerco de madera,345
pulunker',"pulunker' s. sereno de la noche, rocío. Pulunker' wila",346
pumu,pumu s. hierba que crece por sí,346
pumu-lada,pumu-lada s. 1) arroz.,346
pumulu',pumulu' s. terreno cubierto de,346
pumutapalli,*pumutapalli (*pumutulli) vi.,346
iwa'tek,"puñañi iwa'tek s. barbasquero,",346
mapa'ta'su',puñañi mapa'ta'su' nom.,346
"puñañi,","puñañi, puñañin s. barbasco.",346
puñila,"puñila s. rosquilla, suspiro, ñutu.",346
punka'palli,*punka'palli (*punka'lli) vi.,346
punkapi,"punkapi s. shirui grande, especie de pez. Punkapi nadalli",347
punker',punker' vi. ¡flota! ¡Enta'n,347
punpitek,punpitek s. jorobado. Victor,347
"punpuna,","punpuna, punpunan s. balsa.",347
punshu,"punshu s. machete pequeño para los niños. ¡Wilaweksha, kencher'",347
pupuchi,pupuchi s. pavo. Pupuchi,347
pupun,"pupun s. pucahuicsa, pez",347
pur'apalli,"*pur'apalli (*pur'lli) vi. pescar con veneno, barbasquear.",347
puer'chapalli,*puer'chapalli) vt. pescar,347
